"時点","地域","総人口.総数..人.","出生数","転入者数","転出者数","商業年間商品販売額","住宅数","空き家数","延べ宿泊者数","警察官数","刑法犯認知件数"
1975,"長野県",2017564,NA,NA,NA,2609823,NA,NA,NA,2613,14607
1976,"長野県",2033000,NA,NA,NA,NA,NA,NA,NA,2648,15692
1977,"長野県",2048000,NA,NA,NA,NA,NA,NA,NA,2593,14472
1978,"長野県",2062000,NA,NA,NA,3551099,596900,47300,NA,2702,15888
1979,"長野県",2074000,NA,NA,NA,NA,NA,NA,NA,2629,16273
1980,"長野県",2083934,NA,NA,NA,NA,NA,NA,NA,2771,17821
1981,"長野県",2093000,NA,NA,NA,4905986,NA,NA,NA,2822,20282
1982,"長野県",2102000,NA,NA,NA,NA,NA,NA,NA,2828,21338
1983,"長野県",2112000,NA,NA,NA,NA,647400,72600,NA,2833,21478
1984,"長野県",2125000,NA,NA,NA,6222597,NA,NA,NA,2848,21523
1985,"長野県",2136927,NA,NA,NA,NA,NA,NA,NA,2823,22246
1986,"長野県",2143000,NA,NA,NA,NA,NA,NA,NA,2839,22314
1987,"長野県",2148000,NA,NA,NA,6781124,NA,NA,NA,2814,23519
1988,"長野県",2149000,NA,NA,NA,NA,697500,83000,NA,2849,22150
1989,"長野県",2153000,NA,NA,NA,NA,NA,NA,NA,2862,22243
1990,"長野県",2156627,NA,NA,NA,8366184,NA,NA,NA,2902,21931
1991,"長野県",2162000,NA,NA,NA,NA,NA,NA,NA,2904,22145
1992,"長野県",2169000,NA,NA,NA,NA,NA,NA,NA,2919,22250
1993,"長野県",2175000,NA,NA,NA,8051875,749900,94700,NA,2952,23049
1994,"長野県",2184000,NA,NA,NA,NA,NA,NA,NA,2941,24068
1995,"長野県",2193984,21187,NA,NA,NA,NA,NA,NA,2945,25422
1996,"長野県",2203000,21286,NA,NA,7682091,NA,NA,NA,3048,25682
1997,"長野県",2207000,21133,NA,NA,NA,NA,NA,NA,3059,27141
1998,"長野県",2210000,21436,NA,NA,7406358,850400,129800,NA,3012,28173
1999,"長野県",2210000,20765,NA,NA,NA,NA,NA,NA,3038,29252
2000,"長野県",2215168,21194,NA,NA,NA,NA,NA,NA,3039,32110
2001,"長野県",2222000,20889,NA,NA,6464420,NA,NA,NA,3103,34764
2002,"長野県",2215000,20324,NA,NA,NA,NA,NA,NA,3093,34054
2003,"長野県",2210000,19735,NA,NA,6062901,890800,148900,NA,3174,31974
2004,"長野県",2206000,19323,NA,NA,NA,NA,NA,NA,3151,29822
2005,"長野県",2196114,18517,NA,NA,NA,NA,NA,NA,3250,26753
2006,"長野県",2189000,18775,NA,NA,5832187,NA,NA,NA,3305,22902
2007,"長野県",2182000,18618,NA,NA,NA,NA,NA,10569930,3322,21422
2008,"長野県",2173000,18129,NA,NA,NA,946300,183000,10372690,3387,21105
2009,"長野県",2162000,17310,NA,NA,NA,NA,NA,9858050,3399,20164
2010,"長野県",2152449,17233,NA,NA,NA,NA,NA,11924880,3369,18295
2011,"長野県",2142000,16917,NA,NA,4943557,NA,NA,19375310,3412,17707
2012,"長野県",2132000,16661,NA,NA,NA,NA,NA,18291290,3422,15463
2013,"長野県",2122000,16326,NA,NA,4994846,982200,194000,18750560,3426,14791
2014,"長野県",2110000,15848,27627,31330,NA,NA,NA,17897190,3443,13206
2015,"長野県",2098804,15639,28777,32021,5846310,NA,NA,19213380,3467,11502
2016,"長野県",2091000,15171,27946,30895,NA,NA,NA,17804660,3480,10664
2017,"長野県",2082000,14525,28476,31006,NA,NA,NA,17989080,3498,9535
2018,"長野県",2073000,14184,29058,32134,5140364,1007900,197300,18324790,3506,8825
2019,"長野県",2061000,13553,28486,32792,NA,NA,NA,18052570,3517,8504
2020,"長野県",2048011,12864,29222,31045,NA,NA,NA,11242390,3517,NA
2021,"長野県",2033000,12512,NA,NA,NA,NA,NA,10563030,NA,NA
